AREA,AREA_TITLE,AREA_TYPE,PRIM_STATE,NAICS,NAICS_TITLE,I_GROUP,OWN_CODE,OCC_CODE,OCC_TITLE,Alias 1,Alias 2,Alias 3,Alias 4,Alias 5,O_GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC_QUOTIENT,PCT_TOTAL,PCT_RPT,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,49-9064,Watch and Clock Repairers,,,,,,detailed,"1,880",14.5,,,,,26.99,"56,140",3.8,13.65,20.99,27.95,32.86,38.05,"28,390","43,660","58,140","68,340","79,150",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,49-9069,"Precision Instrument and Equipment Repairers, All Other",,,,,,detailed,"10,330",3.8,,,,,31.59,"65,710",1,19.83,23.26,29.83,38.19,45.97,"41,250","48,380","62,040","79,430","95,620",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,49-9071,"Maintenance and Repair Workers, General",,,,,,detailed,"1,503,150",0.8,,,,,23.87,"49,650",0.2,14.84,17.87,22.45,28.67,35.33,"30,860","37,160","46,700","59,640","73,490",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,49-9081,Wind Turbine Service Technicians,Wind Turbine Service Techs,,,,,detailed,"9,800",6.7,,,,,31.43,"65,380",1.5,22.77,25.37,29.7,36.03,43.41,"47,360","52,770","61,770","74,940","90,300",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,49-9091,"Coin, Vending, and Amusement Machine Servicers and Repairers",,,,,,detailed,"36,100",3,,,,,22.04,"45,840",1.1,13.87,17.03,21.63,25.75,30.43,"28,840","35,420","44,980","53,550","63,300",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,49-9092,Commercial Divers,,,,,,detailed,"2,790",11.3,,,,,36.33,"75,570",6.4,18.96,22.33,29.47,43.15,65.86,"39,430","46,440","61,300","89,750","136,990",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,49-9094,Locksmiths and Safe Repairers,,,,,,detailed,"14,790",2,,,,,25.06,"52,130",0.7,15.2,18.25,23.26,29.84,36.76,"31,620","37,950","48,380","62,070","76,460",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,49-9095,Manufactured Building and Mobile Home Installers,,,,,,detailed,"2,910",12.9,,,,,19.14,"39,820",2.1,12.77,16.28,18.74,21.95,26,"26,560","33,860","38,980","45,650","54,080",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,49-9096,Riggers,,,,,,detailed,"23,870",3.8,,,,,29.82,"62,020",1.1,17.99,21.74,27.03,36.22,46.67,"37,420","45,220","56,220","75,350","97,080",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,49-9097,Signal and Track Switch Repairers,,,,,,detailed,"9,200",1.2,,,,,39.33,"81,810",0.6,29.76,36.9,39.76,43.78,45.89,"61,910","76,760","82,710","91,050","95,460",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,49-9098,"Helpers--Installation, Maintenance, and Repair Workers",,,,,,detailed,"101,890",1.7,,,,,18.61,"38,720",0.5,13.02,15.05,17.65,21.26,25.28,"27,080","31,310","36,710","44,230","52,590",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,49-9099,"Installation, Maintenance, and Repair Workers, All Other",,,,,,detailed,"175,860",1.4,,,,,24.27,"50,480",0.4,15.58,18.16,22.36,28.49,35.95,"32,400","37,770","46,500","59,250","74,780",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,51-1011,First-Line Supervisors of Production and Operating Workers,First-Line Supvs of Production and Operating Workers,,,,,detailed,"671,160",0.3,,,,,34.48,"71,730",0.2,20.93,25,31.7,39.75,49.9,"43,540","52,000","65,930","82,680","103,780",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,51-2011,"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers",,,,,,detailed,"29,810",2,,,,,30.22,"62,860",0.7,19.02,23.6,29.44,37.51,44.8,"39,550","49,080","61,240","78,030","93,180",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,51-2021,"Coil Winders, Tapers, and Finishers",,,,,,detailed,"11,900",3.7,,,,,22.13,"46,020",1.1,15.81,18.02,21.58,25.02,29.43,"32,890","37,480","44,890","52,040","61,220",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,51-2028,"Electrical, Electronic, and Electromechanical Assemblers, Except Coil Winders, Tapers, and Finishers",,,,,,detailed,"267,440",1,,,,,21.03,"43,740",0.4,15.04,17.4,19.47,23.19,28.51,"31,290","36,190","40,490","48,230","59,310",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,51-2031,Engine and Other Machine Assemblers,,,,,,detailed,"47,960",1.8,,,,,25.71,"53,470",0.4,17.43,19.46,24.17,32.31,34.69,"36,250","40,480","50,270","67,210","72,160",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,51-2041,Structural Metal Fabricators and Fitters,,,,,,detailed,"57,810",1.8,,,,,24.35,"50,640",0.5,17.39,19.8,23.31,27.65,31.97,"36,180","41,180","48,480","57,520","66,500",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,51-2051,Fiberglass Laminators and Fabricators,,,,,,detailed,"20,380",2.7,,,,,21.12,"43,920",0.7,15.1,17.65,19.33,23.28,27.95,"31,400","36,720","40,200","48,430","58,140",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,51-2061,Timing Device Assemblers and Adjusters,,,,,,detailed,400,27.4,,,,,25.41,"52,840",4,18.17,20.28,23.48,28.41,33.29,"37,800","42,190","48,840","59,090","69,240",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,51-2090,Miscellaneous Assemblers and Fabricators,,,,,,detailed,"1,489,280",0.6,,,,,20.39,"42,400",0.2,14.44,16.82,18.71,22.75,28.77,"30,030","34,980","38,920","47,310","59,840",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,51-3011,Bakers,,,,,,detailed,"220,230",2.9,,,,,17.09,"35,550",0.4,12,14.22,16.8,18.64,22.59,"24,960","29,570","34,950","38,760","46,980",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,51-3021,Butchers and Meat Cutters,,,,,,detailed,"136,330",1.3,,,,,19.08,"39,680",0.4,13.22,15.5,18.1,22.12,26.25,"27,500","32,240","37,650","46,020","54,600",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,51-3022,"Meat, Poultry, and Fish Cutters and Trimmers",,,,,,detailed,"138,300",1,,,,,17.71,"36,840",0.2,13.8,15.3,17.45,19.55,22.19,"28,700","31,820","36,300","40,670","46,150",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,51-3023,Slaughterers and Meat Packers,,,,,,detailed,"71,310",1.1,,,,,18.61,"38,710",0.2,14.64,16.62,18.35,21.29,22.65,"30,450","34,560","38,160","44,280","47,120",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,51-3091,"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders",,,,,,detailed,"19,570",3.9,,,,,20.39,"42,410",1,14.26,16.7,19.16,23.31,28.38,"29,650","34,740","39,850","48,480","59,020",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,51-3092,Food Batchmakers,,,,,,detailed,"169,190",1.1,,,,,19.66,"40,890",0.3,14.17,16.16,18.49,22.68,26.75,"29,480","33,610","38,460","47,170","55,640",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,51-3093,Food Cooking Machine Operators and Tenders,,,,,,detailed,"29,730",4,,,,,19.12,"39,770",0.8,13.81,16.07,18.54,22.05,24.48,"28,720","33,430","38,550","45,870","50,910",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,51-3099,"Food Processing Workers, All Other",,,,,,detailed,"63,970",1.8,,,,,18.09,"37,630",0.3,13.88,16.31,17.73,19.54,22.16,"28,870","33,930","36,890","40,630","46,100",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,51-4021,"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic",,,,,,detailed,"63,370",1.9,,,,,21.85,"45,440",0.7,15.41,17.94,21.34,24.43,28.81,"32,050","37,320","44,390","50,800","59,930",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,51-4022,"Forging Machine Setters, Operators, and Tenders, Metal and Plastic",,,,,,detailed,"9,170",3.8,,,,,22.76,"47,350",0.9,15.32,18.46,22.59,26.07,30.8,"31,860","38,390","46,990","54,220","64,070",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,51-4023,"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic",,,,,,detailed,"24,750",2.7,,,,,23.7,"49,290",0.6,17.16,19.35,22.61,26.55,31.65,"35,690","40,240","47,040","55,220","65,830",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,51-4031,"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic",,,,,,detailed,"179,230",1.3,,,,,21.28,"44,260",0.3,15.69,17.61,20.39,23.57,28.76,"32,640","36,620","42,400","49,030","59,810",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,51-4032,"Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic",,,,,,detailed,"5,740",6.1,,,,,22.83,"47,490",1.7,16.61,18.67,21.45,25.68,30.2,"34,550","38,840","44,620","53,410","62,820",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,51-4033,"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic",,,,,,detailed,"75,260",1.2,,,,,21.37,"44,450",0.3,15.85,17.8,20.48,23.46,28.84,"32,960","37,020","42,610","48,800","59,990",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,51-4034,"Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic",,,,,,detailed,"19,560",3.3,,,,,23.48,"48,850",0.8,17.19,18.97,22.65,26.85,31,"35,760","39,460","47,110","55,860","64,470",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,51-4035,"Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic",,,,,,detailed,"13,990",3.1,,,,,24.05,"50,020",0.8,16.89,18.46,22.69,28.5,33.62,"35,140","38,390","47,200","59,280","69,920",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,51-4041,Machinists,,,,,,detailed,"290,720",1,,,,,26.25,"54,600",0.2,17.64,21,24.44,30.22,36.45,"36,690","43,680","50,840","62,860","75,820",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,51-4051,Metal-Refining Furnace Operators and Tenders,,,,,,detailed,"20,870",4.8,,,,,26.13,"54,340",0.9,17.87,21.19,24.16,30.69,39.68,"37,180","44,080","50,250","63,820","82,530",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,51-4052,"Pourers and Casters, Metal",,,,,,detailed,"5,460",4.1,,,,,24.09,"50,110",0.8,17.41,19.3,23.41,27.78,32.83,"36,220","40,140","48,690","57,780","68,280",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,51-4061,"Model Makers, Metal and Plastic",,,,,,detailed,"2,840",4.8,,,,,31.21,"64,920",1.2,20.42,23.69,30.86,37,42.51,"42,470","49,270","64,190","76,960","88,420",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,51-4062,"Patternmakers, Metal and Plastic",,,,,,detailed,"2,150",8.6,,,,,26.22,"54,550",2.2,17.44,21.2,23.88,31.17,37.13,"36,280","44,090","49,670","64,830","77,230",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,51-4071,Foundry Mold and Coremakers,,,,,,detailed,"11,780",2.7,,,,,21.7,"45,130",0.7,15.9,17.97,21.3,24.22,29.47,"33,070","37,390","44,300","50,380","61,300",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,51-4072,"Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic",,,,,,detailed,"158,980",1.3,,,,,20.22,"42,060",0.3,14.56,16.78,18.69,22.75,27.87,"30,280","34,900","38,870","47,320","57,970",,
