The state associated with the return,The State Federal Information Processing System (FIPS) code,zipcode,Number of returns,Number of joint returns,Number of head of household returns,Number of individuals,Number of elderly returns,Adjusted gross income (AGI),Number of returns with total income, Total income amount ,Total Income Tax,Mean Income,agi_stub_count,note
AK,2,0,344240,120580,35530,630120,82430,30327338,344230," 30,606,142 ",3815456," 88,909.31 ",6,Sum of all income groups (agi_stubs 1-6)
AK,2,99501,7560,1440,970,11710,1720,712828,7560," 720,216 ",111107," 95,266.67 ",6,Sum of all income groups (agi_stubs 1-6)
AK,2,99502,11800,3950,1340,20810,2680,1155859,11800," 1,165,478 ",153884," 98,769.32 ",6,Sum of all income groups (agi_stubs 1-6)
AK,2,99503,7140,1470,940,11200,1650,520017,7140," 524,570 ",65581," 73,469.19 ",6,Sum of all income groups (agi_stubs 1-6)
AK,2,99504,19030,5450,2890,34450,4050,1333162,19030," 1,342,747 ",138008," 70,559.49 ",6,Sum of all income groups (agi_stubs 1-6)
AK,2,99505,2020,870,90,4850,30,111793,2020," 112,500 ",6574," 55,693.07 ",6,Sum of all income groups (agi_stubs 1-6)
AK,2,99506,2730,1340,100,5540,50,138491,2730," 139,249 ",8054," 51,006.96 ",6,Sum of all income groups (agi_stubs 1-6)
AK,2,99507,18340,6080,2000,32430,3950,1748530,18340," 1,766,824 ",236059," 96,337.19 ",6,Sum of all income groups (agi_stubs 1-6)
AK,2,99508,14910,3460,2470,25980,2940,1002942,14910," 1,011,457 ",108639," 67,837.49 ",6,Sum of all income groups (agi_stubs 1-6)
AK,2,99515,11140,4060,1100,20180,2710,1239412,11140," 1,249,576 ",179597," 112,170.20 ",6,Sum of all income groups (agi_stubs 1-6)
AK,2,99516,10140,5070,450,19890,2850,1787265,10140," 1,811,098 ",312141," 178,609.27 ",6,Sum of all income groups (agi_stubs 1-6)
AK,2,99517,7880,2220,820,12770,1970,807792,7880," 817,112 ",118598," 103,694.42 ",6,Sum of all income groups (agi_stubs 1-6)
AK,2,99518,5280,1390,570,8580,1140,442223,5280," 445,954 ",57140," 84,460.98 ",6,Sum of all income groups (agi_stubs 1-6)
AK,2,99540,140,50,0,220,60,16666,140,16746.0002,2524," 119,614.29 ",6,Sum of all income groups (agi_stubs 1-6)
AK,2,99556,1270,520,90,2360,440,86737,1270," 87,601 ",8789," 68,977.17 ",6,Sum of all income groups (agi_stubs 1-6)
AK,2,99559,2800,740,470,5580,460,208134,2800," 209,279 ",24834," 74,742.50 ",6,Sum of all income groups (agi_stubs 1-6)
AK,2,99567,4150,1880,270,7920,1210,416414,4150," 419,312 ",51247," 101,039.04 ",6,Sum of all income groups (agi_stubs 1-6)
AK,2,99568,170,70,0,310,70,13500,170," 13,566 ",1576," 79,800.00 ",6,Sum of all income groups (agi_stubs 1-6)
AK,2,99572,230,80,0,360,80,18006,230,18224.0002,1951," 79,234.78 ",6,Sum of all income groups (agi_stubs 1-6)
AK,2,99573,440,170,30,790,160,25087,440,25313.0002,2096," 57,529.55 ",6,Sum of all income groups (agi_stubs 1-6)
AK,2,99577,13260,6110,850,26010,2940,1447264,13260," 1,457,871 ",190012," 109,945.02 ",6,Sum of all income groups (agi_stubs 1-6)
AK,2,99586,200,60,20,350,70,10452,200," 10,524 ",863," 52,620.00 ",6,Sum of all income groups (agi_stubs 1-6)
AK,2,99588,700,270,70,1260,190,55081,700," 55,418 ",6078," 79,168.57 ",6,Sum of all income groups (agi_stubs 1-6)
AK,2,99603,5980,2380,380,10630,1980,522721,5980," 532,058 ",63287," 88,972.91 ",6,Sum of all income groups (agi_stubs 1-6)
AK,2,99605,100,40,0,190,40,6522,100," 6,577 ",649," 65,770.00 ",6,Sum of all income groups (agi_stubs 1-6)
AK,2,99610,1140,530,70,2080,460,87800,1140," 88,676 ",9407," 77,785.96 ",6,Sum of all income groups (agi_stubs 1-6)
AK,2,99611,6710,2640,640,12700,1840,556294,6710," 560,372 ",64073," 83,512.97 ",6,Sum of all income groups (agi_stubs 1-6)
AK,2,99615,5890,2170,680,11050,1440,470868,5890," 477,020 ",50641," 80,988.12 ",6,Sum of all income groups (agi_stubs 1-6)
AK,2,99631,140,50,0,220,40,11101,140," 11,181 ",1284," 79,864.29 ",6,Sum of all income groups (agi_stubs 1-6)
AK,2,99639,670,270,40,1140,310,43927,670," 44,234 ",4409," 66,020.90 ",6,Sum of all income groups (agi_stubs 1-6)
AK,2,99645,14430,6140,1100,28140,3690,1357498,14430," 1,369,301 ",167690," 94,892.65 ",6,Sum of all income groups (agi_stubs 1-6)
AK,2,99654,16880,6930,1670,33930,3440,1494692,16880," 1,507,202 ",180297," 89,289.22 ",6,Sum of all income groups (agi_stubs 1-6)
AK,2,99664,2280,750,150,3710,610,180892,2280," 183,346 ",19530," 80,414.91 ",6,Sum of all income groups (agi_stubs 1-6)
AK,2,99669,8070,3400,680,15240,2500,756590,8070," 763,063 ",94091," 94,555.51 ",6,Sum of all income groups (agi_stubs 1-6)
AK,2,99672,1780,820,100,3270,680,162254,1780," 163,384 ",19966," 91,788.76 ",6,Sum of all income groups (agi_stubs 1-6)
AK,2,99674,720,310,50,1380,220,52883,720," 53,371 ",5436," 74,126.39 ",6,Sum of all income groups (agi_stubs 1-6)
AK,2,99676,1020,360,70,1730,340,76710,1020," 77,790 ",9207," 76,264.71 ",6,Sum of all income groups (agi_stubs 1-6)
AK,2,99686,1830,650,170,3310,400,170930,1830," 171,888 ",21095," 93,927.87 ",6,Sum of all income groups (agi_stubs 1-6)
AK,2,99688,1450,670,100,2720,590,110405,1450," 111,551 ",11503," 76,931.72 ",6,Sum of all income groups (agi_stubs 1-6)
AK,2,99701,8080,2040,1010,13460,1750,569017,8080," 572,651 ",63159," 70,872.65 ",6,Sum of all income groups (agi_stubs 1-6)
AK,2,99702,1460,740,40,3300,20,71735,1460," 72,040 ",3681," 49,342.47 ",6,Sum of all income groups (agi_stubs 1-6)
AK,2,99703,3030,1390,120,6490,30,150351,3030," 151,385 ",8224," 49,962.05 ",6,Sum of all income groups (agi_stubs 1-6)
AK,2,99705,9500,3930,790,18430,1630,765941,9500," 770,053 ",78523," 81,058.21 ",6,Sum of all income groups (agi_stubs 1-6)
AK,2,99709,11010,3730,990,19180,2330,1068985,11010," 1,076,320 ",141635," 97,758.40 ",6,Sum of all income groups (agi_stubs 1-6)
AK,2,99712,4350,1940,300,8530,1060,431365,4350," 433,973 ",52586," 99,763.91 ",6,Sum of all income groups (agi_stubs 1-6)
AK,2,99714,480,220,40,940,140,35851,480," 36,029 ",3477," 75,060.42 ",6,Sum of all income groups (agi_stubs 1-6)
AK,2,99737,1930,910,120,4120,550,152814,1930," 154,008 ",15627," 79,796.89 ",6,Sum of all income groups (agi_stubs 1-6)
AK,2,99743,580,210,30,970,140,46574,580," 46,917 ",5512," 80,891.38 ",6,Sum of all income groups (agi_stubs 1-6)
AK,2,99760,340,130,40,640,120,23723,340," 23,793 ",2190," 69,979.41 ",6,Sum of all income groups (agi_stubs 1-6)
AK,2,99780,780,300,100,1470,260,68600,780, 68795.00020000001 ,8111," 88,198.72 ",6,Sum of all income groups (agi_stubs 1-6)
AK,2,99801,12510,4240,1090,21360,2960,1148930,12510," 1,161,873 ",140310," 92,875.54 ",6,Sum of all income groups (agi_stubs 1-6)
AK,2,99824,1080,320,100,1650,320,97403,1080," 98,296 ",12259," 91,014.81 ",6,Sum of all income groups (agi_stubs 1-6)
AK,2,99827,1250,490,80,2170,460,105302,1250," 107,120 ",11683," 85,696.00 ",6,Sum of all income groups (agi_stubs 1-6)
AK,2,99833,1660,660,140,2910,570,149850,1660," 153,844 ",16918," 92,677.11 ",6,Sum of all income groups (agi_stubs 1-6)
AK,2,99835,4500,1450,390,7310,1290,402627,4500," 409,160 ",51326," 90,924.44 ",6,Sum of all income groups (agi_stubs 1-6)
AK,2,99901,6130,2060,580,10430,1660,553760,6130," 560,429 ",72779," 91,423.98 ",6,Sum of all income groups (agi_stubs 1-6)
AK,2,99999,65260,21030,8220,121950,17240,5124768,65260," 5,167,807 ",619539," 79,187.97 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,0,2116220,743980,379550,4078970,551660,158833627,2116200," 160,154,890 ",18214978," 75,679.70 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,35004,5410,2040,770,10300,1360,373800,5410," 376,134 ",35311," 69,525.69 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,35005,3290,740,890,6020,770,149625,3290," 150,512 ",10490," 45,748.33 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,35006,1260,560,170,2490,370,81364,1260," 81,740 ",7346," 64,873.02 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,35007,12540,4950,1780,24900,2870,859156,12540," 866,003 ",79665," 69,059.25 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,35010,8000,2590,1860,15360,2170,528992,8000," 533,548 ",57732," 66,693.50 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,35014,1620,520,410,2970,460,98465,1620," 98,927 ",8733," 61,066.05 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,35016,7590,3360,940,15170,2160,487127,7590," 491,252 ",44649," 64,723.58 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,35019,1010,460,110,2060,240,63772,1010," 64,424 ",5890," 63,786.14 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,35020,8650,890,3280,16000,1620,284201,8650," 286,605 ",15084," 33,133.53 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,35022,10820,3210,2260,19620,2900,721850,10820," 727,102 ",69453," 67,199.82 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,35023,10330,3180,2170,19300,2650,575399,10330," 579,378 ",46375," 56,086.93 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,35031,3100,1460,390,6530,720,166536,3100," 167,894 ",12529," 54,159.35 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,35033,1530,770,160,3120,460,119160,1530," 120,203 ",13675," 78,564.05 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,35034,1360,320,440,2690,290,63816,1360," 64,262 ",4495," 47,251.47 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,35035,560,230,110,1140,140,38553,560," 38,813 ",3163," 69,308.93 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,35040,8990,2990,1760,17540,1490,575339,8990," 579,437 ",52127," 64,453.50 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,35042,2200,860,420,4460,570,132719,2200," 133,413 ",11196," 60,642.27 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,35043,6620,3330,580,14090,1560,673021,6620," 678,401 ",79725," 102,477.49 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,35044,3140,930,700,5810,750,158080,3140," 159,191 ",12228," 50,697.77 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,35045,6040,2260,1140,12270,1360,361427,6040," 363,939 ",31906," 60,254.80 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,35046,2410,1070,280,4700,690,175081,2410," 176,586 ",18972," 73,272.20 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,35049,1700,780,170,3510,410,103294,1700," 104,064 ",8509," 61,214.12 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,35051,3620,1570,470,7210,1010,313587,3620," 316,317 ",37683," 87,380.39 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,35053,1300,670,110,2470,530,119208,1300," 120,482 ",15144," 92,678.46 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,35054,2110,940,180,3940,780,188608,2110," 190,024 ",22209," 90,058.77 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,35055,8720,3500,1070,16980,2230,621877,8720," 627,168 ",65471," 71,922.94 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,35057,5800,2730,650,11860,1470,454851,5800," 458,413 ",50722," 79,036.72 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,35058,4670,2190,530,9530,1170,333080,4670," 335,796 ",33695," 71,904.93 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,35061,550,80,200,960,160,22620,550, 22718.000200000002 ,1453," 41,305.45 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,35062,3350,1580,450,7120,870,230933,3350," 232,728 ",21146," 69,471.04 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,35063,1250,500,220,2520,290,68391,1250," 68,742 ",5534," 54,993.60 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,35064,3870,450,1330,6700,1160,153386,3870," 154,356 ",10137," 39,885.27 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,35068,4110,1020,840,7160,850,232127,4110," 233,791 ",20502," 56,883.45 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,35071,7820,3080,1080,14810,2430,603948,7820," 608,255 ",62819," 77,781.97 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,35072,1800,620,380,3510,430,95052,1800," 95,586 ",8047," 53,103.33 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,35073,1010,280,210,1840,280,47252,1010, 47455.000199999995 ,3651," 46,985.15 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,35077,5580,2190,800,10880,1330,322309,5580," 324,296 ",28504," 58,117.56 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,35078,1020,360,150,1910,290,69853,1020," 70,465 ",6951," 69,083.33 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,35079,3850,1890,450,8190,900,261201,3850," 262,924 ",22933," 68,291.95 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,35080,9010,4140,1000,18970,1940,808105,9010," 814,662 ",88873," 90,417.54 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,35083,1320,650,150,2800,330,78722,1320," 79,204 ",6482," 60,003.03 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,35085,3610,1530,550,7530,770,209039,3610," 210,652 ",16767," 58,352.35 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,35087,910,420,120,1910,220,48777,910," 49,173 ",3555," 54,036.26 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,35089,740,190,180,1340,170,29820,740," 29,937 ",1722," 40,455.41 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,35091,1510,770,180,3370,280,132498,1510," 133,141 ",13037," 88,172.85 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,35094,6740,2550,970,12830,1800,483232,6740," 487,529 ",49718," 72,333.68 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,35096,4110,1400,800,7910,870,261706,4110," 263,491 ",24639," 64,109.73 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,35097,740,350,60,1480,210,45699,740," 45,993 ",3626," 62,152.70 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,35098,640,300,70,1330,160,35365,640," 35,591 ",2611," 55,610.94 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,35111,7960,3250,1170,15430,2140,595406,7960," 599,731 ",57861," 75,343.09 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,35114,3280,1460,400,6820,750,261146,3280," 262,972 ",26910," 80,174.39 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,35115,6010,2090,1030,11580,1360,326187,6010," 329,403 ",27113," 54,809.15 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,35116,2190,1050,220,4510,680,180679,2190," 181,879 ",19314," 83,049.77 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,35117,2880,1310,300,5630,850,221099,2880," 222,620 ",22211," 77,298.61 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,35118,1300,490,190,2460,410,71072,1300," 71,457 ",5631," 54,966.92 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,35120,7470,3060,1150,15250,1560,492734,7470," 495,896 ",43726," 66,385.01 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,35121,6240,2810,740,12890,1690,434754,6240," 438,126 ",45308," 70,212.50 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,35124,12300,5270,1190,23500,3630,1268007,12300," 1,279,070 ",166593," 103,989.43 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,35125,4630,1630,840,9100,1000,271110,4630," 273,015 ",24006," 58,966.52 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,35126,9660,3190,1930,18290,2370,563806,9660," 568,442 ",46095," 58,844.93 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,35127,4610,1010,1220,8110,1230,264877,4610," 266,163 ",21824," 57,736.01 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,35128,4660,2050,580,9100,1450,400140,4660," 403,362 ",48188," 86,558.37 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,35130,1210,470,190,2270,310,68240,1210," 68,652 ",5569," 56,737.19 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,35131,1540,620,270,3110,340,81989,1540," 82,445 ",6301," 53,535.71 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,35133,1680,790,170,3470,470,106722,1680," 107,366 ",9116," 63,908.33 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,35135,870,350,120,1700,260,63255,870," 63,662 ",6413," 73,174.71 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,35136,710,320,90,1350,260,42376,710," 42,493 ",3706," 59,849.30 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,35143,1410,610,140,2600,450,108373,1410," 109,348 ",12811," 77,551.77 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,35146,5500,2740,560,11600,1580,443269,5490," 447,072 ",45246," 81,285.82 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,35147,2430,1100,250,4890,590,204600,2430," 206,407 ",22433," 84,941.15 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,35148,1060,410,170,2080,290,59916,1060," 60,571 ",5305," 57,142.45 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,35150,6960,1980,1650,13130,1590,353386,6960," 355,732 ",27440," 51,110.92 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,35151,3060,1270,440,5870,880,192602,3060," 193,602 ",16503," 63,268.63 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,35160,9520,2590,2630,17810,2420,482851,9520," 486,082 ",39266," 51,059.03 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,35171,1440,670,190,2990,320,92395,1440," 92,901 ",7716," 64,514.58 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,35172,1180,490,180,2410,260,63759,1180," 64,125 ",4761," 54,343.22 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,35173,14290,7080,1370,29920,4110,1527784,14290," 1,539,718 ",194354," 107,747.94 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,35175,2280,1070,220,4420,730,166308,2280," 167,271 ",16656," 73,364.47 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,35176,360,140,50,700,100,19830,360," 19,917 ",1579," 55,325.00 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,35178,1670,590,260,3070,460,97865,1670," 98,488 ",7882," 58,974.85 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,35179,4130,1900,490,8420,1080,273828,4130," 275,997 ",26326," 66,827.36 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,35180,5860,2820,660,12140,1550,421995,5860," 424,668 ",39231," 72,468.94 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,35183,280,130,40,550,90,18296,280," 18,323 ",1552," 65,439.29 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,35184,2210,900,360,4430,530,127472,2210," 128,056 ",9464," 57,943.89 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,35186,2280,1180,190,4620,730,213295,2280," 214,854 ",26187," 94,234.21 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,35188,1200,560,150,2500,260,79692,1200," 80,030 ",6893," 66,691.67 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,35203,1390,190,240,2060,230,247181,1390," 249,245 ",34618," 179,312.95 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,35204,3190,200,1200,5600,670,97701,3190," 98,375 ",5246," 30,838.56 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,35205,7200,1100,690,9700,1260,555539,7200," 561,528 ",79318," 77,990.00 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,35206,6230,840,1950,11120,1290,240075,6230," 242,166 ",15844," 38,870.95 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,35207,2930,220,1180,5470,620,93041,2930," 93,750 ",4817," 31,996.59 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,35208,5160,400,1990,9140,1220,173578,5160," 174,884 ",9590," 33,892.25 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,35209,11460,4020,1450,22120,2390,1627295,11460," 1,649,098 ",260000," 143,900.35 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,35210,6860,2040,870,11380,2020,529400,6860," 534,582 ",63271," 77,927.41 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,35211,9720,920,3300,17030,2080,367934,9720," 370,722 ",25665," 38,140.12 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,35212,4150,650,1270,7610,690,211271,4150," 213,781 ",20433," 51,513.49 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,35213,7030,3150,270,13290,2110,2626099,7030," 2,658,258 ",556603," 378,130.58 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,35214,7980,1190,2540,13870,2220,359392,7980," 361,503 ",27453," 45,301.13 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,35215,19630,2500,7190,36820,3350,767260,19630," 773,318 ",47867," 39,394.70 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,35216,15360,5430,1950,28960,3790,1885020,15360," 1,910,815 ",292871," 124,402.02 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,35217,4870,750,1550,9130,980,182783,4870," 184,579 ",12983," 37,901.23 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,35218,2330,130,920,4160,490,69108,2330," 69,528 ",3178," 29,840.34 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,35221,1590,120,620,2770,370,51646,1590," 51,989 ",2701," 32,697.48 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,35222,3930,1120,360,6310,890,504820,3930," 511,441 ",81476," 130,137.66 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,35223,5570,3140,150,11800,2020,2406401,5570," 2,434,887 ",511298," 437,143.09 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,35224,2050,290,690,3740,400,71011,2050," 71,500 ",3846," 34,878.05 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,35226,17140,8560,1260,35400,5120,2218528,17140," 2,240,482 ",320949," 130,716.57 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,35228,4010,330,1530,7070,900,134855,4010," 135,835 ",7221," 33,874.06 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,35233,1300,150,50,1470,70,106957,1300," 107,634 ",15740," 82,795.38 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,35234,1630,110,580,2800,330,56245,1630," 56,624 ",3321," 34,738.65 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,35235,9150,1640,2590,16050,2000,440260,9150," 444,118 ",32817," 48,537.49 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,35242,26740,12440,1770,51740,8840,4743141,26740," 4,794,856 ",812983," 179,313.99 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,35243,10140,4130,580,18490,3090,1931567,10140," 1,955,998 ",348759," 192,899.21 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,35244,17890,8150,1650,35460,5200,2179384,17890," 2,201,203 ",307784," 123,040.97 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,35401,9350,1020,2810,15670,1730,396627,9350," 400,157 ",35571," 42,797.54 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,35404,7850,1520,1960,13560,1560,378786,7850," 381,974 ",32882," 48,659.11 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,35405,18780,4200,5100,34210,3960,1090289,18780," 1,096,939 ",102657," 58,409.96 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,35406,7440,3610,560,15230,2430,1265500,7440," 1,280,723 ",215152," 172,140.19 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,35441,440,130,110,860,140,25354,440," 25,386 ",2165," 57,695.46 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,35442,1730,310,670,3390,400,73754,1730," 74,328 ",4905," 42,964.16 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,35443,660,80,280,1290,150,21710,660," 21,896 ",1015," 33,175.76 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,35444,1720,660,320,3570,270,110336,1720," 110,956 ",10025," 64,509.30 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,35446,880,350,160,1770,220,51004,880," 51,244 ",4042," 58,231.82 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,35447,1160,320,360,2290,300,59222,1160, 59485.000199999995 ,4848," 51,280.17 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,35452,1650,750,210,3420,450,109335,1650," 109,947 ",9503," 66,634.55 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,35453,5020,1710,1020,9830,1150,291773,5020," 293,520 ",25744," 58,470.12 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,35456,1830,630,360,3570,420,101507,1830," 102,018 ",8147," 55,747.54 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,35458,240,110,30,500,60,15508,240," 15,530 ",1153," 64,708.34 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,35459,300,80,90,570,90,14190,300," 14,308 ",948," 47,693.33 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,35460,230,30,90,440,40,8671,230," 8,719 ",477," 37,908.70 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,35461,670,290,110,1320,210,38858,670, 39070.000100000005 ,3188," 58,313.43 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,35462,1770,270,690,3350,460,70842,1770," 71,468 ",4847," 40,377.40 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,35463,820,280,180,1570,220,49174,820," 49,493 ",4229," 60,357.32 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,35464,180,20,80,350,50,5733,180," 5,765 ",257," 32,027.78 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,35466,2210,950,360,4590,600,140728,2210," 141,510 ",12242," 64,031.67 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,35469,120,30,40,240,40,6215,120," 6,215 ",448," 51,791.67 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,35470,1670,420,480,3180,480,94592,1670," 95,396 ",9039," 57,123.35 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,35473,7480,2840,1060,14170,2040,529078,7480," 533,227 ",51062," 71,287.03 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,35474,3300,1030,840,6530,660,193977,3300," 195,090 ",16182," 59,118.18 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,35475,7750,4010,680,16390,2090,771722,7750," 777,615 ",94106," 100,337.42 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,35476,3200,620,930,5910,660,154192,3200," 155,565 ",12865," 48,614.06 ",6,Sum of all income groups (agi_stubs 1-6)
AL,1,35480,750,300,130,1550,200,51932,750," 52,183 ",4879," 69,577.33 ",6,Sum of all income groups (agi_stubs 1-6)
